H2,C2H2,C2H4,C2H6,CH4,C3H8,TCG,CO,CO2,normality
13,0,37,35,189,296,1018,400,2000,1
10,0,27,35,96,66,298,400,2000,1
10,0,27,35,117,73,346,406,2000,1
10,0,29,35,146,89,427,411,2000,1
10,0,30,35,151,117,496,411,2000,1
10,0,30,35,172,140,594,400,2000,1
29,0,44,35,166,288,732,435,2156,1
10,0,33,35,189,334,825,400,2913,1
18,0,44,35,166,288,754,400,2000,1
10,0,34,35,196,226,777,400,2000,1
14,0,37,35,146,279,669,400,2000,1
12,0,16,35,113,140,543,400,2000,1
18,0,15,35,120,144,576,400,2000,1
19,0,16,35,128,140,576,400,2000,1
14,0,17,35,120,158,630,400,2000,1
15,0,20,35,124,173,689,400,2000,1
10,0,40,35,202,233,930,400,2000,1
10,0,40,35,209,240,988,400,2000,1
